user_id,session_id,ui_version,time_spent_seconds,page_clicks,scroll_depth,datetime
1,1_8102,Old,306,2,0.68,2025-06-17 04:52:49
1,1_8026,New,178,4,0.71,2025-06-05 22:55:09
1,1_3193,Old,134,6,0.66,2025-06-15 19:22:33
2,2_3000,New,334,10,0.8,2025-06-05 20:19:44
2,2_4419,Old,46,7,0.53,2025-06-08 04:51:59
2,2_2252,New,245,10,0.87,2025-06-21 08:52:33
2,2_5637,New,313,4,0.79,2025-06-23 05:30:04
3,3_6569,Old,252,7,0.61,2025-06-13 21:11:26
4,4_9472,New,286,5,0.76,2025-06-03 18:12:17
4,4_7376,Old,221,3,0.64,2025-06-12 04:47:55
4,4_6240,Old,214,5,0.59,2025-06-22 20:23:38
5,5_9150,Old,209,3,0.67,2025-06-14 17:14:28
5,5_3797,New,253,4,0.7,2025-06-11 17:35:44
5,5_7229,New,207,6,0.82,2025-06-26 21:44:44
6,6_8943,Old,201,7,0.45,2025-06-08 09:03:21
6,6_6622,Old,187,4,0.56,2025-06-16 07:39:35
6,6_2063,New,247,9,0.83,2025-06-05 14:38:25
6,6_7469,Old,175,3,0.58,2025-06-26 15:20:21
7,7_2828,Old,359,2,0.42,2025-06-30 08:59:29
8,8_3219,Old,139,7,0.68,2025-06-02 12:23:37
9,9_1235,Old,228,3,0.65,2025-06-18 16:11:55
9,9_9007,New,265,5,0.71,2025-06-11 04:15:17
9,9_2065,New,357,8,0.67,2025-06-25 15:35:09
10,10_2970,New,238,8,0.69,2025-06-06 07:51:58
10,10_1950,Old,295,5,0.52,2025-06-01 11:27:19
11,11_4228,Old,240,7,0.45,2025-06-08 05:01:22
11,11_7166,Old,258,2,0.62,2025-06-15 17:22:00
11,11_4531,New,272,11,0.9,2025-06-12 03:04:39
12,12_2645,Old,347,3,0.4,2025-06-04 00:48:04
12,12_8970,New,289,7,0.65,2025-06-20 10:05:47
12,12_2990,Old,208,2,0.6,2025-06-20 20:12:11
13,13_1966,New,298,5,0.62,2025-06-17 18:49:47
13,13_3482,New,235,9,0.83,2025-06-27 19:29:36
13,13_7016,New,143,5,0.65,2025-06-08 05:12:20
14,14_4462,Old,139,6,0.62,2025-06-29 03:33:35
14,14_8970,New,279,7,0.63,2025-06-24 18:06:17
14,14_3198,Old,236,6,0.48,2025-06-21 11:54:51
15,15_1804,New,191,8,0.65,2025-06-06 14:36:06
15,15_4186,Old,328,5,0.48,2025-06-17 11:39:28
15,15_1074,New,297,6,0.6,2025-06-06 08:18:33
15,15_3074,Old,175,8,0.46,2025-06-25 21:47:20
16,16_5788,New,306,9,0.75,2025-06-04 15:14:20
17,17_8715,Old,191,5,0.62,2025-06-15 05:07:42
17,17_2240,New,267,8,0.88,2025-06-29 09:51:22
17,17_4004,New,187,12,0.81,2025-06-17 20:08:03
17,17_5806,Old,209,4,0.68,2025-06-17 00:22:18
18,18_2521,New,322,5,0.64,2025-06-27 03:33:02
18,18_1130,New,256,10,0.74,2025-06-05 23:46:49
18,18_1545,Old,198,2,0.42,2025-06-30 01:50:14
18,18_3032,Old,161,4,0.5,2025-06-29 00:12:21
19,19_5435,New,260,6,0.63,2025-06-05 08:23:30
19,19_9056,Old,213,10,0.52,2025-06-24 18:24:29
19,19_6429,New,237,9,0.75,2025-06-21 03:52:24
19,19_8312,New,254,7,0.68,2025-06-24 15:49:51
20,20_2218,New,256,4,0.81,2025-06-25 00:30:06
20,20_6295,New,250,7,0.77,2025-06-26 03:41:25
20,20_7183,New,269,4,0.67,2025-06-27 21:23:13
21,21_5286,New,355,5,0.7,2025-06-27 18:41:29
21,21_4741,Old,241,1,0.49,2025-06-07 11:08:46
22,22_2136,New,282,8,0.79,2025-06-09 22:15:23
23,23_6084,New,235,5,0.61,2025-06-22 01:37:37
23,23_3353,New,271,4,0.61,2025-06-14 09:23:12
24,24_8813,Old,257,5,0.64,2025-06-15 15:06:01
24,24_2098,New,319,5,0.82,2025-06-20 10:05:22
24,24_7446,New,158,9,0.66,2025-06-16 20:58:27
24,24_4676,Old,192,2,0.64,2025-06-21 03:18:28
25,25_7059,New,350,5,0.78,2025-06-21 17:57:07
25,25_1583,New,343,12,0.63,2025-06-11 17:40:43
25,25_4117,Old,295,1,0.5,2025-06-15 05:53:22
25,25_1001,Old,264,2,0.52,2025-06-01 19:28:22
26,26_8014,New,229,4,0.88,2025-06-26 16:38:03
26,26_1552,New,291,10,0.65,2025-06-18 22:05:58
27,27_5109,New,355,7,0.65,2025-06-11 12:08:40
27,27_8057,Old,274,5,0.41,2025-06-19 11:01:02
28,28_1352,Old,240,5,0.66,2025-06-07 07:30:30
28,28_5703,Old,252,8,0.59,2025-06-09 11:04:10
29,29_3958,Old,245,4,0.55,2025-06-01 23:41:28
29,29_3365,New,274,7,0.8,2025-06-22 09:49:57
29,29_6543,Old,218,2,0.56,2025-06-12 15:34:54
29,29_6897,New,286,5,0.61,2025-06-12 05:43:36
30,30_7052,New,327,6,0.76,2025-06-15 18:08:54
30,30_1281,New,255,3,0.78,2025-06-29 01:51:01
30,30_5585,New,268,6,0.69,2025-06-20 15:50:29
30,30_2969,New,285,4,0.89,2025-06-10 07:14:07
31,31_2198,New,257,4,0.63,2025-06-02 10:50:43
32,32_5440,New,271,8,0.86,2025-06-14 12:54:02
33,33_6208,New,246,9,0.69,2025-06-16 17:02:58
33,33_1454,Old,195,7,0.4,2025-06-25 07:12:23
33,33_8010,New,222,4,0.7,2025-06-08 09:34:47
33,33_1011,Old,333,7,0.46,2025-06-05 20:46:09
34,34_5431,Old,226,4,0.59,2025-06-15 19:10:23
34,34_9564,New,281,9,0.86,2025-06-20 06:49:19
35,35_8052,Old,192,5,0.43,2025-06-07 19:49:40
35,35_7284,New,289,9,0.69,2025-06-23 11:31:59
36,36_7807,New,317,4,0.86,2025-06-19 03:10:16
37,37_1630,Old,248,3,0.47,2025-06-21 06:20:59
37,37_2100,Old,198,5,0.5,2025-06-29 05:03:04
37,37_3349,New,222,8,0.79,2025-06-19 07:44:06
37,37_2804,New,231,6,0.62,2025-06-17 11:52:51
38,38_6291,Old,230,6,0.63,2025-06-02 04:18:18
39,39_1207,Old,299,6,0.7,2025-06-10 19:23:18
40,40_9555,New,243,5,0.83,2025-06-01 09:08:34
40,40_3785,Old,166,4,0.52,2025-06-29 14:43:00
40,40_8574,New,211,9,0.86,2025-06-26 12:38:20
41,41_8629,Old,249,2,0.47,2025-06-06 09:41:25
41,41_8373,New,231,8,0.89,2025-06-20 10:36:55
41,41_8045,New,257,4,0.78,2025-06-25 17:52:00
42,42_9734,New,202,2,0.61,2025-06-14 08:18:44
42,42_6179,Old,186,5,0.44,2025-06-23 15:18:19
42,42_7406,New,257,5,0.8,2025-06-16 17:31:53
43,43_5517,New,236,7,0.64,2025-06-07 00:05:18
43,43_7548,New,333,7,0.62,2025-06-22 21:34:57
44,44_1671,Old,261,3,0.66,2025-06-04 21:37:39
44,44_5719,New,188,6,0.8,2025-06-28 01:35:49
44,44_9616,New,249,9,0.86,2025-06-01 02:38:48
44,44_8083,Old,201,1,0.62,2025-06-01 05:57:21
45,45_4456,New,126,9,0.73,2025-06-13 02:22:06
45,45_7511,New,270,4,0.68,2025-06-28 10:19:21
45,45_7979,Old,219,4,0.55,2025-06-14 00:17:24
45,45_7303,New,292,5,0.73,2025-06-16 21:45:01
46,46_7267,New,248,13,0.65,2025-06-26 05:02:55
46,46_9789,New,245,3,0.82,2025-06-22 13:34:47
46,46_9474,Old,282,9,0.45,2025-06-18 14:21:11
46,46_9553,Old,221,5,0.46,2025-06-26 00:16:01
47,47_4081,New,194,3,0.83,2025-06-21 19:14:45
47,47_4083,Old,242,8,0.59,2025-06-17 14:26:06
47,47_2929,Old,240,0,0.45,2025-06-24 04:42:53
47,47_6891,New,212,4,0.77,2025-06-28 23:18:28
48,48_7643,Old,346,2,0.59,2025-06-04 12:03:13
48,48_7354,New,241,7,0.67,2025-06-22 10:40:33
48,48_1830,Old,251,5,0.61,2025-06-20 19:27:57
49,49_3125,Old,255,5,0.41,2025-06-28 08:31:18
49,49_7397,Old,125,7,0.54,2025-06-22 05:05:44
50,50_4331,New,269,6,0.83,2025-06-30 12:32:34
50,50_7868,Old,172,6,0.66,2025-06-30 02:27:26
51,51_3643,New,208,5,0.8,2025-06-18 09:24:06
51,51_2171,New,174,9,0.63,2025-06-24 19:36:05
51,51_8345,Old,194,5,0.62,2025-06-21 16:20:02
52,52_7566,New,186,5,0.86,2025-06-22 04:31:12
52,52_4750,Old,248,6,0.66,2025-06-22 13:30:13
53,53_6774,Old,171,6,0.5,2025-06-24 03:38:24
53,53_8264,Old,243,6,0.56,2025-06-10 04:24:15
53,53_9087,New,363,10,0.9,2025-06-28 10:25:24
54,54_4200,Old,274,5,0.66,2025-06-23 18:27:35
54,54_8183,Old,167,3,0.57,2025-06-01 11:51:46
54,54_4864,New,284,7,0.74,2025-06-20 09:35:26
54,54_3990,Old,215,5,0.47,2025-06-12 02:36:03
55,55_2715,Old,108,9,0.6,2025-06-02 14:33:50
55,55_2089,New,238,7,0.69,2025-06-03 13:45:11
55,55_9179,New,289,6,0.65,2025-06-14 15:45:38
56,56_2377,Old,191,4,0.53,2025-06-24 22:09:51
56,56_5249,Old,154,5,0.69,2025-06-06 19:15:46
56,56_8230,Old,193,4,0.47,2025-06-09 00:24:00
56,56_7816,Old,260,4,0.42,2025-06-24 18:40:55
57,57_1987,New,194,10,0.67,2025-06-08 12:16:53
57,57_8851,New,190,3,0.89,2025-06-01 00:09:15
57,57_8468,Old,187,9,0.43,2025-06-23 21:34:08
57,57_6525,Old,128,6,0.48,2025-06-12 18:50:33
58,58_7716,New,249,8,0.86,2025-06-12 00:25:35
59,59_5976,New,277,6,0.68,2025-06-30 04:08:51
59,59_6463,Old,227,4,0.54,2025-06-05 19:56:58
59,59_4629,Old,287,9,0.59,2025-06-13 12:17:42
60,60_4741,New,305,7,0.82,2025-06-13 06:49:47
61,61_6889,New,194,2,0.79,2025-06-29 09:10:40
61,61_8544,New,226,4,0.73,2025-06-07 12:39:03
61,61_3466,Old,238,2,0.57,2025-06-11 07:22:53
62,62_5318,New,313,11,0.7,2025-06-25 19:38:00
62,62_2141,Old,241,4,0.63,2025-06-04 15:54:22
62,62_3606,Old,103,0,0.52,2025-06-20 00:28:08
63,63_2829,New,278,6,0.89,2025-06-05 23:11:55
64,64_7218,Old,165,3,0.67,2025-06-13 08:50:03
65,65_3172,New,240,9,0.76,2025-06-05 04:29:14
65,65_4236,New,347,5,0.7,2025-06-09 22:24:19
65,65_9491,New,274,6,0.9,2025-06-11 06:39:58
66,66_4835,New,368,3,0.76,2025-06-18 01:36:26
66,66_4730,New,322,7,0.86,2025-06-27 16:24:19
67,67_1882,New,272,8,0.82,2025-06-19 19:37:45
67,67_7068,Old,203,6,0.4,2025-06-14 07:09:37
67,67_3384,Old,181,3,0.62,2025-06-17 18:59:41
